,SSYK 2012 kod,Yrkesbenämning
2553,3322,"Försäljare, partihandel"
2554,5222,"Försäljare, pressbyrå"
2555,5223,"Försäljare, proffsmarknad"
2556,3322,"Försäljare, representant"
2557,4221,"Försäljare, resor"
2558,5242,"Försäljare, telefon-"
2559,5223,"Försäljare, yrkesbutik"
2560,4114,Försäljningsadministratör
2561,3322,"Försäljningsansvarig, företagsförsäljning produkter och tjänster"
2562,4114,Försäljningsassistent
2563,3321,"Försäljningschef, försäkringar"
2564,1252,"Försäljningschef, verksamhetsnära chef"
2565,1251,"Försäljningschef,funktions- eller mellanchef"
2566,1251,"Försäljningsdirektör, funktions- eller mellanchef"
2567,1252,"Försäljningsdirektör, verksamhetsnära chef"
2568,3322,"Försäljningsingenjör, informations- och kommunikationsteknik"
2569,3322,"Försäljningsingenjör, teknik och medicin"
2570,2431,Försäljningskonsult
2571,4114,Försäljningssekreterare
2572,3215,"Försöksassistent, jordbruk, trädgård"
2573,6129,Försöksdjursskötare
2574,6129,Försöksdjurstekniker
2575,6129,"Försökstekniker, djur"
2576,3215,"Försökstekniker, skogsbruk"
2577,3215,"Försökstekniker, trädgårdsodling"
2578,3215,"Försökstekniker, vattenbruk"
2579,3215,"Försökstekniker, växtodling"
2580,8121,Förtennare
2581,2211,Förtroendeläkare
2582,4430,"Förtroendevald, byggnadsnämnd"
2583,4430,"Förtroendevald, intagningsnämnd"
2584,4430,"Förtroendevald, intresseorganisation"
2585,4430,"Förtroendevald, socialnämnd"
2586,4323,Förtullare
2587,8122,Förvalsare
2588,3335,"Förvaltare, fastigheter"
2589,1380,"Förvaltare, lantbruk biodlare och silkesodlare"
2590,1380,"Förvaltare, lantbruk blandad drift"
2591,1380,"Förvaltare, lantbruk blandade växtslag"
2592,1380,"Förvaltare, lantbruk fjäderfäuppfödare"
2593,1380,"Förvaltare, lantbruk husdjursuppfödare"
2594,1380,"Förvaltare, lantbruk jordbruksväxter"
2595,1380,"Förvaltare, lantbruk träd och buskar"
2596,1380,"Förvaltare, lantbruk trädgårdsodlare"
2597,1380,"Förvaltare, lantbruk övriga djuruppfödare"
2598,1380,"Förvaltare, skogsbruk"
2599,2515,"Förvaltningsansvarig, IT"
2600,4119,Förvaltningsassistent
2601,1230,"Förvaltningschef, kommun"
2602,1230,"Förvaltningschef, landsting"
2603,1112,"Förvaltningsdirektör, staten"
2604,3313,"Förvaltningsekonom, fastighetsbolag"
2605,2419,"Förvaltningsekonom, offentlig förvaltning"
2606,2615,Förvaltningsjurist
2607,2515,"Förvaltningsledare, IT"
2608,6112,"Förädlingsarbetare, trädgård"
2609,8344,Gaffeltruckförare
2610,2621,Galleriföreståndare
2611,2621,Gallerist
2612,3422,Galopptränare
2613,8121,Galvanisatör
2614,9120,Garagearbetare
2615,9120,Garagebiträde
2616,5413,Garagevakt
2617,4222,Garantihandläggare
2618,3112,"Garantiingenjör, bygg"
2619,9622,Garderobiär
2620,9622,Garderobsarbetare
2621,9622,Garderobsvakt
2622,9622,Garderobsvaktmästare
2623,9622,Garderobsvärd
2624,7531,"Gardinsömmerska, ateljé"
2625,8159,"Gardinsömmerska, industri"
2626,7532,Gardinuppsättare
2627,8151,Garnfärgare
2628,8151,Garntvättare
2629,7534,Garvare
2630,7534,Garvarmästare
2631,7534,Garveriarbetare
2632,8114,Gasbetongarbetare
2633,7212,Gasbågsvetsare
2634,7212,Gashyvlare
2635,7212,Gasmejslare
2636,7125,Gasmätareuppsättare
2637,8181,Gaspåfyllare
2638,7212,Gasskärare
2639,7212,Gassvetsare
2640,7125,Gastekniker
2641,2211,Gastroenterolog
2642,8116,Gatstenhuggare
2643,7114,Gatuarbetare
2644,1341,"Gatuchef, funktions- eller mellanchef"
2645,1342,"Gatuchef, verksamhetsnära chef"
2646,9520,Gatuförsäljare
2647,3112,Gatuingenjör
2648,9411,Gatuköksbiträde
2649,8342,Gatumaskinförare
2650,2652,Gatumusikant
2651,8163,Gelatinarbetare
2652,7211,Gelbgjutare
2653,7312,Gemmolog
2654,2623,Genealog
2655,0110,"General, försvaret"
2656,1120,"Generaldirektör, affärsverk"
2657,1112,"Generaldirektör, myndighet"
2658,1112,Generalkonsul
2659,0110,"Generalmajor, försvaret"
2660,1113,Generalsekreterare
2661,2131,"Genetiker, forskare"
2662,2131,"Genetiker, klinisk"
2663,2623,Genusvetare
2664,2164,Geodet
2665,2114,Geofysiker
2666,2623,Geograf
2667,2114,Geokemist
2668,2114,Geolog
2669,3215,Geologassistent
2670,2146,Geotekniker
2671,2211,Geriatriker
2672,2227,Geriatriksjuksköterska
2673,3230,Gestaltterapeut
2674,6121,Getfarmare
2675,7319,Gipsgjutare
2676,5349,Gipstekniker
2677,3117,GIS-ingenjör
2678,7319,Gitarrbyggare
2679,2652,"Gitarrist, klassisk musik"
2680,2652,"Gitarrist, populärmusik"
2681,7319,Gitarrtekniker
2682,8114,"Gjutare, betongvaruindustri"
2683,7319,"Gjutare, keramik"
2684,7211,"Gjutare, metall hantverk"
2685,2146,"Gjuteriingenjör, civilingenjör"
2686,3116,"Gjuteriingenjör, högskoleingenjör"
2687,8129,"Gjuterioperatör, stål- och metallverk"
2688,9320,Gjutgodsrensare
2689,8193,"Gjutlådeskötare, stålverk"
2690,7211,Gjutmästare
2691,7319,Glas- och porslinsmålare
2692,8189,"Glasarbetare, tillverkning, maskin"
2693,7124,Glasare
2694,7319,Glasblåsare
2695,7319,Glasbruksarbetare
2696,7319,"Glaserare, keramik"
2697,7319,Glasetsare
2698,8189,"Glasfiberarbetare, tillverkning"
2699,7319,Glasgravör
2700,7319,Glashyttearbetare
2701,8189,Glashärdare
2702,2651,Glaskonstnär
2703,8189,Glasmaskinskötare
2704,7124,Glasmontör
2705,7319,Glasmålare
2706,7124,Glasmästare
2707,7124,Glasmästeriarbetare
2708,7319,Glaspolerare
2709,8189,Glaspressare
2710,8162,Glassarbetare
2711,8162,Glassberedare
2712,7319,"Glasskärare, glasbruk"
2713,7319,"Glasslipare, dekor"
2714,7319,"Glasslipare, övrig"
2715,8189,Glassmältare
2716,8162,Glasstillverkare
2717,7619,"Glasstillverkare, gårdstillverkning"
2718,7124,Glastekniker
